mz,rt,rtmin,rtmax,p_glc
717.9581,126.6,116.39999999999999,140.39999999999998,340000
718.4594,126.6,116.39999999999999,144,330000
273.189,128.4,123.60000000000001,137.4,210000
281.1383,128.4,123.60000000000001,150.6,880000
294.8609,128.4,118.2,142.20000000000002,310000
316.2199,128.4,126.6,137.4,310000
376.2699,128.4,116.39999999999999,145.8,500000
389.5882,128.4,116.39999999999999,133.8,610000
394.2833,128.4,120,133.8,380000
431.2468,128.4,114.6,147.6,500000
476.323,128.4,113.39999999999999,147.6,700000
483.9807,128.4,116.39999999999999,133.8,330000
85.5049,130.2,126.6,156,150000
272.2947,130.2,116.39999999999999,159.60000000000002,800000
436.3191,130.2,104.4,145.8,930000
474.2678,130.2,113.39999999999999,176.4,8000000
475.2711,130.2,103.2,160.8,1300000
499.2608,130.2,116.39999999999999,140.39999999999998,270000
527.3635,130.2,113.39999999999999,147.6,1200000
633.3844,130.2,114.6,142.20000000000002,500000
792.5534,130.2,125.39999999999999,138.6,190000
344.243,132,128.4,145.8,250000
377.257,132,120,149.4,700000
443.2923,132,114.6,138.6,370000
473.2644,132,113.39999999999999,178.20000000000002,29000000
515.275,132,116.39999999999999,156,420000
520.5085,132,123.60000000000001,140.39999999999998,210000
583.3767,132,113.39999999999999,145.8,3100000
751.5112,132,121.79999999999998,156,410000
773.588,132,121.79999999999998,152.4,830000
138.0913,133.8,116.39999999999999,150.6,280000
330.2274,133.8,132,154.2,210000
425.7747,133.8,123.60000000000001,138.6,280000
435.7832,133.8,128.4,150.6,710000
716.5584,133.8,123.60000000000001,152.4,660000
728.521,133.8,126.6,142.20000000000002,350000
790.5733,133.8,121.79999999999998,149.4,350000
795.6086,133.8,120,150.6,490000
804.5129,133.8,126.6,149.4,240000
836.6166,133.8,123.60000000000001,147.6,270000
318.3002,135.6,132,150.6,420000
417.2182,135.6,123.60000000000001,150.6,450000
466.329,135.6,126.6,140.39999999999998,220000
602.3989,135.6,130.2,159.60000000000002,250000
627.4208,135.6,121.79999999999998,145.8,170000
663.4532,135.6,118.2,142.20000000000002,1400000
692.5585,135.6,123.60000000000001,152.4,300000
714.4248,135.6,120,145.8,450000
721.5568,135.6,121.79999999999998,152.4,460000
771.5455,135.6,123.60000000000001,145.8,230000
806.5687,135.6,121.79999999999998,152.4,2500000
807.572,135.6,123.60000000000001,152.4,1500000
811.604,135.6,121.79999999999998,149.4,870000
819.6086,135.6,132,150.6,170000
